Tweet,Compound_Score,Sentiments
"Jakarta concert friends forgot to bring spare masks, stay healthy, the masks are removed when the children interact",0.7003,Positif
I really want to make up even though I don't take off the helmet mask,0.1513,Positif
take off the mask,0.0,Netral
"ooo heuheu, yes, how about the brakes, wfo here, take off the mask, actively gather around",0.6124,Positif
"at the tbz concert, us gin took off the word mask, then after the word member the country canceled because the word plus member didn't want to be stoned",-0.0572,Negatif
"You know how to make it, then after that, you're already accompanied by a mask",0.0,Netral
take off the mask it's so cute,0.5949,Positif
"Inter fans are a bit of a fandom, just like it when you take off your mask, it's really good when the concert is full, it's great to wear an indoor mask directly, Inter fans respect the artist, it's hilarious",0.9392,Positif
"Passed without carrying a mask, it's already taken off and then it's okay",0.2263,Positif
"I'm surprised that Sono has taken off the mask, please at least respect, God, I'm so angry",0.5868,Positif
You can take off the president's mask,0.0,Netral
"tomorrow, come to the concert txt jkt wear mask freebies just give a mask so that stubborn people take off the sarcastic mask wkwkkwk",-0.2911,Negatif
"I swear I'm so afraid of the stone coming down, take off the mask",-0.0516,Negatif
take off the mask,0.0,Netral
"I understand because I have taken off the mask, I'm afraid",0.0,Netral
"take off the mask, I'm angry",-0.5106,Negatif
"Sis, friends, the eyewitness is making noise, the eye is taking off the mask",0.4767,Positif
goblok take off the goblok mask,0.0,Netral
"So it's hard to wear a mask, are some fancams taking off the mask",-0.1725,Negatif
I took off my mask last May but there are really many people who have to wear it,0.0,Netral
"there, take off the mask",0.0,Netral
"us sadly, we have released a lot, nder know how much we split the pending concert cvd, we are ready to remind you to wear a mask",-0.0772,Negatif
mask off,0.0,Netral
thursday june circle near the office positive for covid denial no ahh covid be healthy just be healthy unfortunately the dentist queue is healthy good immunity has taken off the mask rarely cont,0.875,Positif
then the mask,0.0,Netral
"proud to call dear, eat, fall on the floor minutes, dear pande's name",0.8074,Positif
take off the office mask,0.0,Netral
"Jongdae's motto, take off the hat and put on a mask",0.0,Netral
"dramatic, anjir wears a mask, his ear hurts",-0.4767,Negatif
"mimin this pixie has red pimple scars, I've tried skincare, it's healed, it's broken, try to cover it up so I'm confident taking off the mask, anw done all rules & wish me lucky",0.7076,Positif
Camelo taehyung maw more hares maneken tingagal maneken tampi,0.0,Netral
Jabodetabek level masks healthy protocol mi,0.4019,Positif
"Jabodetabek level masks, minimally effective healthy protocols, easy to protect the endemic pandemic, take off the masks",0.8834,Positif
"when wearing a mask, call the midwife to manage the administration of the mask, then change the voice calling her",0.0,Netral
"their original style is not my problem, they have a lot of habit when you take off the mask, it sticks down",0.5511,Positif
take off the mask next,0.0,Netral
authentic evidence of vax volume tanggulang wuhan flu virus test tool benchmark copy off mask applied healthy lifestyle vaccine good solution,0.6486,Positif
"it's really good to try, sis yumm, you use money insecure, acne scars are offline, you've taken off the mask huhuhu",-0.0276,Negatif
"woi shsns jsmsk earpods lost the dog broke the brakes for God's sake, you know when you open the mask, two ears are still wearing it while listening to the car song when you take off the mask the left earpods come off when you look for it, what about it",-0.6249,Negatif
"Vernon really likes to go for fun, where do you go, the starter pack beanie, the headphones backpacker mask is off",0.7501,Positif
"I've taken off my goggles, mask, feel good",0.4404,Positif
"watching thor take off the mask, man, shame on mesem",-0.4767,Negatif
